// cmdid = message (HSR-OWNER); real name where known, // obf: original
4 = GetLevelRewardTakenListScRsp  // obf: GPONDAHEKJN
307 = UnlockAvatarSkinScNotify  // obf: PLOBOMJLAPE
308 = RankUpAvatarCsReq  // obf: POLGKEAJIHD
310 = SetMultipleAvatarPathsScRsp  // obf: HIIAFEKODHJ
311 = TakeOffRelicScRsp  // obf: EEANCDFECGN
312 = TakeOffRelicCsReq  // obf: ECGBLDGLGFL
313 = AvatarSpecialSkilltreeUnlockScNotify  // obf: JKHHNBLECCG
315 = DressAvatarScRsp  // obf: DEIKCHNBAGL
316 = UnlockSkillTreeScRsp  // obf: POLMJOOOBNK
317 = TakePromotionRewardCsReq  // obf: PLEKMNPBNKG
319 = TakeOffAvatarSkinCsReq  // obf: BCLNFODBDMH
321 = DressRelicAvatarScRsp  // obf: OLLEOCLINLN
322 = GetPreAvatarGrowthInfoCsReq  // obf: KIBJDDNABII
323 = LENDBHPIOJK
324 = SetPlayerOutfitScRsp  // obf: CJICCPDKOHF
325 = GetAvatarDataScRsp  // obf: MNFBHFDNOKF
326 = UnlockAvatarPathCsReq  // obf: OEJBBPEEEGI
329 = GrowthTargetAvatarChangedScNotify  // obf: CFGGOBEDJOK
330 = SetPlayerOutfitCsReq  // obf: OJCGDHHEGCJ
334 = GetAvatarDataCsReq  // obf: EELGBOMFJEJ
338 = TakePromotionRewardScRsp  // obf: HCBJDLLMJLC
339 = TakeOffEquipmentScRsp  // obf: KEALONANBJO
340 = SetAvatarEnhancedIdScRsp  // obf: NJKLLJELADJ
341 = GetPreAvatarActivityListScRsp  // obf: CEAIGOBEACN
342 = TakeOffEquipmentCsReq  // obf: FOMGGGKLGLP
347 = SetAvatarPathScRsp  // obf: CNHHAPIMKPM
349 = GetPreAvatarGrowthInfoScRsp  // obf: NMLGHIFLBNN
351 = MarkAvatarScRsp  // obf: HEOOJBGLBCF
356 = PromoteAvatarScRsp  // obf: LFKNBJPPOGC
357 = PMEMIDKDAFG
358 = PromoteAvatarCsReq  // obf: CKLJCNJNKFC
360 = UnlockSkillTreeCsReq  // obf: JAGAEDNEKNM
361 = AddAvatarScNotify  // obf: FFJCEKKJOHG
364 = DressRelicAvatarCsReq  // obf: OBJMMFFDGGC
367 = SetMultipleAvatarPathsCsReq  // obf: HMCMKKFLJBM
368 = RankUpAvatarScRsp  // obf: GJNEHIMBFMC
370 = AvatarPathChangedNotify  // obf: EBGAANBOBAH
373 = SetGrowthTargetAvatarCsReq  // obf: IIEEOLPONJM
375 = AvatarExpUpScRsp  // obf: DPBMNEMLMBI
376 = EKLIDIDKFHC
378 = DressAvatarSkinCsReq  // obf: DBFCKPFCNBD
379 = GetPreAvatarActivityListCsReq  // obf: FNEKPCPNKLO
380 = UnlockAvatarPathScRsp  // obf: NGHMPPEHAIL
381 = MarkAvatarCsReq  // obf: LCFDPFCHIIC
383 = DressAvatarCsReq  // obf: OAIPMLDNDFN
384 = SetAvatarEnhancedIdCsReq  // obf: KMEHKMDADJO
385 = TakeOffAvatarSkinScRsp  // obf: MLPHCNIKCJK
393 = AddMultiPathAvatarScNotify  // obf: KHOOCKLJEDE
396 = SetAvatarPathCsReq  // obf: HGCKEBEHCMJ
416 = GetChapterScRsp  // obf: MKEPKKAJONE
425 = GetWaypointScRsp  // obf: GMCAGPOHKJJ
434 = LKJFAOIDNNF
460 = JBAEGHHHDNH
503 = DestroyItemCsReq  // obf: EKEFLKGCMBN
504 = ExchangeHcoinScRsp  // obf: PIHLJLKOPEE
505 = PromoteEquipmentCsReq  // obf: ECNNCBDHHBC
507 = AddEquipmentScRsp  // obf: MJEJCMECDDN
508 = ComposeItemScRsp  // obf: PNBGCDGOLJB
509 = PromoteEquipmentScRsp  // obf: AMNBMKEMMFL
510 = GetRelicFilterPlanScRsp  // obf: JJDNPDECDDA
511 = SellItemCsReq  // obf: DBEMDBEGDLA
512 = LockRelicScRsp  // obf: AAMDILFLLCL
513 = AddRelicFilterPlanCsReq  // obf: AAMPBNNKEOK
514 = RelicFilterPlanClearNameScNotify  // obf: IKLBGNIABDE
515 = RankUpEquipmentScRsp  // obf: JNEBIKHBHOB
516 = LockEquipmentScRsp  // obf: CHOEFNJIHKB
517 = SellItemScRsp  // obf: NDFJEJPFCGK
519 = ComposeSelectedRelicCsReq  // obf: DEAIMKCPPDJ
521 = LockRelicCsReq  // obf: BHMLMEGGKGK
522 = GetMarkItemListCsReq  // obf: DEBAGFJEEIA
523 = AddRelicFilterPlanScRsp  // obf: EBPBGFNCJEP
524 = DiscardRelicCsReq  // obf: ACGCJMLFHCO
525 = GetBagScRsp  // obf: GJDACOJFAGG
529 = DestroyItemScRsp  // obf: BGJEJDDLJPE
530 = GeneralVirtualItemDataNotify  // obf: MLNNABAOJGC
531 = RelicReforgeConfirmScRsp  // obf: GADFJNMKAAN
532 = MarkItemScRsp  // obf: GGBGDAFPGID
534 = GetBagCsReq  // obf: HGKLNOIKPPE
536 = RelicReforgeCsReq  // obf: KMHBOEAKDCF
538 = RechargeSuccNotify  // obf: LLOJHLJFJIM
539 = ExpUpEquipmentScRsp  // obf: GIFJFIDCJAI
540 = SyncTurnFoodNotify  // obf: DMDDINNHIOE
541 = SetTurnFoodSwitchScRsp  // obf: LJKFPPDFHMH
542 = ExpUpEquipmentCsReq  // obf: PJGAHLDOIIG
544 = MarkRelicFilterPlanCsReq  // obf: LBFJJFDFABF
546 = RelicReforgeConfirmCsReq  // obf: LDGJDOHPMPL
549 = GetMarkItemListScRsp  // obf: PLCBONEAMNL
551 = GetRecyleTimeScRsp  // obf: JFOEKIFGPCP
553 = DeleteRelicFilterPlanScRsp  // obf: MGBKBIKLJDN
556 = UseItemScRsp  // obf: FKOIIHNOICH
557 = ModifyRelicFilterPlanScRsp  // obf: DEHJKNPFDMA
558 = UseItemCsReq  // obf: BDHDBGECGJA
560 = LockEquipmentCsReq  // obf: KOHONNJJMOL
561 = ComposeItemCsReq  // obf: NPIAJDLLAHL
562 = MarkRelicFilterPlanScRsp  // obf: NLFHJLDBOEA
563 = PromoteEquipmentCsReq  // obf: EOBJKAMNNPI
564 = ExpUpRelicScRsp  // obf: KJMNPHBPHLD
567 = GetRelicFilterPlanCsReq  // obf: ENCGNAJCJME
568 = ExpUpRelicCsReq  // obf: PKIAEJLCPHL
573 = ComposeLimitNumUpdateScNotify  // obf: OMJPICCHOEG
575 = PromoteEquipmentScRsp  // obf: EEFFCJHHLNG
576 = ModifyRelicFilterPlanCsReq  // obf: BAIEHPEHGIO
577 = RelicReforgeScRsp  // obf: NCFHPBHFGLE
578 = ExchangeHcoinCsReq  // obf: NFONKIEFCCK
579 = SetTurnFoodSwitchCsReq  // obf: AMPMJPCFLND
581 = GetRecyleTimeCsReq  // obf: CJJPGIGPDIA
582 = MarkItemCsReq  // obf: GFKOAPFOFNL
583 = RankUpEquipmentCsReq  // obf: BONOIPBEEAP
584 = CancelMarkItemNotify  // obf: IOHGFLDMPEM
585 = ComposeSelectedRelicScRsp  // obf: GJHDDFIJJIC
587 = BatchRankUpEquipmentScRsp  // obf: HMGMLGIAIJK
591 = BatchRankUpEquipmentCsReq  // obf: DMFJEJBNCNB
593 = ComposeLimitNumCompleteScNotify  // obf: LHILENAKIPI
596 = DiscardRelicScRsp  // obf: EMGMPNOKJGL
597 = DeleteRelicFilterPlanCsReq  // obf: EMLDLBKPEFD
634 = PlayerSyncScNotify  // obf: NIEBAAFIPDA
704 = ReplaceLineupCsReq  // obf: BLIOAJGEJNN
705 = GetCurLineupDataCsReq  // obf: JIJPDHKHFML
707 = VirtualLineupTrialAvatarChangeScNotify  // obf: GNIOONGIJLP
708 = ChangeLineupLeaderCsReq  // obf: GOEIOJHFNOH
711 = SetLineupNameScRsp  // obf: FIMLPDOBHBD
712 = SetLineupNameCsReq  // obf: HIPGFJHDOBO
715 = SwapLineupScRsp  // obf: JFPGNGNBOBJ
716 = JoinLineupScRsp  // obf: HKNCBEOKDCK
717 = GetAllLineupDataCsReq  // obf: AMIDBKDMELM
719 = JoinLineupScRsp  // obf: JHICJLAIPLD
721 = SwitchLineupIndexScRsp  // obf: MEFDHAEBAFG
738 = GetAllLineupDataScRsp  // obf: EPGDODNPPDO
739 = GetLineupAvatarDataCsReq  // obf: ELFNJCILJGK
742 = SyncLineupNotify  // obf: EOBONCLPPLM
751 = CNCFCDJAFOJ
756 = QuitLineupScRsp  // obf: AFOIFBMKMEJ
758 = QuitLineupCsReq  // obf: FJDFDBIIGOE
760 = JoinLineupCsReq  // obf: DHEOOPKAOFC
761 = GetLineupAvatarDataScRsp  // obf: HLPOIMIADJI
764 = SwitchLineupIndexCsReq  // obf: GFMLKENMBGP
768 = ChangeLineupLeaderScRsp  // obf: GHHKJGJNKIK
773 = SetTeamFavourite  // obf: FCEHCMIGCNC
775 = GetCurLineupDataScRsp  // obf: FNDNOHGCGIE
778 = HPHANFONFPF
781 = SyncAllPresetLineupNotify  // obf: EFAFCCEKOAN
783 = SwapLineupCsReq  // obf: NFKIFHPMHHO
785 = ExtraLineupDestroyNotify  // obf: HOGPMBGJIDH
793 = MarkPresetLineupCsReq  // obf: CDLDNIINDEF
805 = MarkReadMailCsReq  // obf: PEEIPMKDOOL
816 = DelMailScRsp
825 = GetMailScRsp
834 = GetMailCsReq  // obf: HOKKGKCCHHL
856 = TakeMailAttachmentScRsp
858 = TakeMailAttachmentCsReq  // obf: EGMPLFGHOEJ
860 = DelMailCsReq  // obf: GMFKPHCLAJE
875 = MarkReadMailScRsp  // obf: JJMOOBLMDOC
883 = NewMailScNotify
905 = EMHALMBFHKG
915 = FinishQuestCsReq  // obf: KLKBKPCLHEE
925 = GetQuestDataScRsp  // obf: BMENGFFDCNB
934 = GetQuestDataCsReq  // obf: EMKAACCBCCB
939 = TakeQuestOptionalRewardCsReq  // obf: JOMMJIBBCCI
942 = BICDPPOGHND
956 = GetQuestRecordScRsp  // obf: ABFPFFEJCBP
958 = GetQuestRecordCsReq  // obf: NKOIPKDPHGF
961 = TakeQuestOptionalRewardScRsp  // obf: JGAMLCKCIKB
964 = BatchGetQuestDataScRsp  // obf: CBJEKJOCIDM
968 = JGAONCGEIND
975 = TakeQuestRewardScRsp  // obf: MGAMADCNPAG
983 = QuestRecordScNotify  // obf: GILLCJGDGOD
1005 = MultiplayerGetFightGateCsReq  // obf: NLOPJLCMLEN
1008 = GetFriendRankingInfoRsp  // obf: NBNNMNBEJCJ
1015 = GetMatchPlayDataCsReq  // obf: GNHMFIJAGIP
1016 = JJAGFPLDCAF
1025 = FightGameStateScRsp  // obf: ABAIDFKODPJ
1034 = FightGameStateCsReq  // obf: IMNPPGALEHP
1039 = MatchPlayDataChangeNtf  // obf: LKOGDPGHEKL
1042 = MultiplayerGetMatchPlayDataScRsp  // obf: HIEKCDEJNIL
1056 = HFFCEACMEIG
1058 = FightGameStartScNotify  // obf: HMJOPNLILHK
1060 = IHGLPGLPDFF
1061 = GetFriendRankingInfoCsReq  // obf: CDLJKKNLHBC
1068 = SelfRankChangeNtf  // obf: KGALHFLMAKC
1075 = HPGIGMPBIBO
1083 = MultiplayerMatch3FinishScNotify  // obf: NENHKMEFAEC
1125 = FinishPlotScRsp  // obf: ONNIDPKMOPB
1134 = FinishPlotCsReq  // obf: HPOFMGOOHAN
1203 = AcceptMainMissionCsReq  // obf: KHOHCEGIHGF
1205 = FinishTalkMissionCsReq  // obf: MMJJKEOONKE
1207 = SubMissionRewardScNotify  // obf: AOCAHONLJKE
1208 = FinishCosumeItemMissionScRsp  // obf: MPFBABKLLJK
1216 = LIFMGAFOBPC
1217 = GetMissionStatusCsReq  // obf: MEBIGMFKKFD
1222 = GetMainMissionCustomValueCsReq  // obf: CFDNIJHMEND
1224 = StarPerformanceRelayCsReq  // obf: JFDDOPKGIKG
1225 = GetMissionDataScRsp  // obf: KHKJONMCECE
1229 = AcceptMainMissionScRsp  // obf: GGHDJOBEDAF
1230 = UpdateMainMissionCustomValueScRsp  // obf: EOEBBIDAKJD
1234 = GetMissionDataCsReq  // obf: EMIFJNLDKDE
1238 = GetMissionStatusScRsp
1239 = MissionGroupWarnScNotify  // obf: GHFEIOEICNP
1240 = UpdateTrackMainMissionScRsp  // obf: BKJJKCOBDOE
1241 = UpdateMainMissionCustomValueCsReq  // obf: DDDPMJDEMHE
1249 = GetMainMissionCustomValueScRsp  // obf: NBDELHIPKLP
1251 = TeleportToMissionResetPointScRsp  // obf: DCNKCCPMKLE
1258 = MissionSyncTaskScRsp  // obf: KJOEGEBHKHM
1260 = MissionRewardScNotify  // obf: IKMNHNAHNMK
1261 = FinishCosumeItemMissionCsReq  // obf: BMGLOGMBKLF
1273 = StartFinishMainMissionScNotify  // obf: JMIPELIDOIJ
1275 = FinishTalkMissionScRsp  // obf: OKPLFBLIDFF
1279 = FinishedMissionScNotify  // obf: ABFLEADGIIF
1281 = TeleportToMissionResetPointCsReq  // obf: HNPPCJMODAB
1282 = CPFCAJBHOIB
1284 = UpdateTrackMainMissionCsReq  // obf: LGKGKENHNCL
1293 = StartFinishSubMissionScNotify  // obf: CJOACNKDPEI
1296 = StarPerformanceRelayScRsp  // obf: PDKHNCEKOIP
1305 = GetFarmStageGachaInfoCsReq  // obf: OMAAIFEDKOO
1315 = CocoonSweepScRsp  // obf: OOOHICJHPGL
1316 = QuickStartCocoonStageScRsp  // obf: MHDMHAEADMI
1339 = FarmElementSweepScRsp  // obf: HNKJOONKGOK
1342 = FarmElementSweepCsReq  // obf: JLHKLAFACIJ
1356 = QuickStartFarmElementScRsp  // obf: JDNANJFNLDF
1358 = QuickStartFarmElementCsReq  // obf: GJNOEFFJDJK
1360 = QuickStartCocoonStageCsReq  // obf: JLGGPEBAIMB
1375 = GetFarmStageGachaInfoScRsp  // obf: AECPNKPOOCP
1383 = CocoonSweepCsReq  // obf: ACABKOGJAEG
1401 = SetTrainWorldIdScRsp  // obf: GFCAHBOAJIB
1402 = RefreshTriggerByClientCsReq  // obf: IJEEIJDKBDP
1404 = SceneEnterStageCsReq  // obf: MMNONCLEIIH
1405 = InteractPropCsReq  // obf: OBOAHKMABIJ
1406 = RefreshTriggerByClientScRsp  // obf: LKBJBOOHAKB
1407 = SceneReviveAfterRebattleScRsp  // obf: BNLAMHMALIC
1408 = SceneCastSkillCostMpCsReq  // obf: GDGMINPNACD
1409 = EnterSceneScRsp  // obf: JNKOPDPGDFF
1411 = SceneCheckpoingRefreshScRsp  // obf: JLKIEGEFFHI
1412 = SceneCheckpoingRefreshCsReq  // obf: FIAHFIBLDLP
1414 = SetGroupCustomSaveDataScRsp  // obf: BBMICCAEHFE
1415 = ChangePropTimelineInfoScRsp  // obf: GFCOKHFFALL
1416 = SceneCastSkillScRsp  // obf: MAPFMHHMKIM
1417 = LastSpringRefreshTimeNotify  // obf: HNGLCIGBNGB
1418 = UpdateFloorSavedValueNotify  // obf: EDDIFENDEFG
1419 = SceneEnterStageScRsp  // obf: CCOCKCOOOKO
1420 = EnteredSceneChangeScNotify  // obf: AFCKCGAINAM
1422 = RecoverAllLineupCsReq  // obf: PDHBDPNPMPI
1425 = SceneEntityMoveScRsp  // obf: DDNFEPNJEHM
1426 = ActiveFarmElementScRsp  // obf: DPNJPMJEHBH
1427 = EnterSceneByServerScNotify  // obf: FBJMJBLCGNI
1428 = SyncServerSceneChangeNotify  // obf: OIMLFNKOCLN
1430 = SetClientPausedScRsp  // obf: CGBKDLHENKL
1431 = ReEnterLastElementStageScRsp  // obf: MOOKEPFNLPM
1432 = StartCocoonStageCsReq  // obf: ANHIGPKMCNG
1433 = SceneGroupRefreshScNotify  // obf: EJJNPDFPIAP
1434 = SceneEntityMoveCsReq  // obf: PAOMMOHKLCO
1435 = GameplayCounterUpdateScNotify  // obf: ILCCPICILFF
1437 = GetSceneMapInfoScRsp  // obf: CNEBMLIJCEM
1438 = OOFDADLENDH
1439 = SceneUpdatePositionVersionNotify  // obf: FDGOBNJPKJG
1441 = SetClientPausedCsReq  // obf: JLBCPCBGHOO
1442 = SceneEntityMoveScNotify  // obf: DHOCHEGBMFG
1445 = OpenChestScNotify  // obf: DJPNDFFGJHO
1446 = ReEnterLastElementStageCsReq  // obf: DBMMBDOINNC
1447 = DeactivateFarmElementScRsp  // obf: APIMIMMBOCL
1448 = GetEnteredSceneScRsp  // obf: CGKHKICJKIA
1449 = RecoverAllLineupScRsp  // obf: KCFMJCBJGMN
1450 = GetUnlockTeleportCsReq  // obf: CDIEIOFFMKM
1451 = EnterSectionScRsp  // obf: PLPGNCMHKHB
1452 = CounterDownCsReq  // obf: BGJILAHJNAN
1454 = DeleteSummonUnitCsReq  // obf: CDNLGOOMBAG
1455 = GetEnteredSceneCsReq  // obf: FHLGAPIIKCA
1456 = GetCurSceneInfoScRsp  // obf: AGAAHIBNOBP
1458 = GetCurSceneInfoCsReq  // obf: GJEONNOCMPH
1459 = TrainWorldIdChangeScNotify  // obf: KEJANPDMOIL
1460 = SceneCastSkillCsReq  // obf: INBDPGBJIFA
1461 = SyncEntityBuffChangeListScNotify  // obf: GBMFAHMBLAA
1462 = SetGroupCustomSaveDataCsReq  // obf: DKBDECKEION
1463 = EnterSceneCsReq  // obf: MEKDHGNOEIJ
1464 = SceneCastSkillMpUpdateScNotify  // obf: BFGACKAFICK
1466 = GroupStateChangeCsReq  // obf: MJFFBOKIDND
1468 = SceneCastSkillCostMpScRsp  // obf: LEJMFOOIHFN
1469 = GMABBKEMPNP
1470 = ActiveFarmElementCsReq  // obf: AJAPKAEAIJM
1471 = EBADAHNBIIH
1472 = DeleteSummonUnitScRsp  // obf: DHGJBIJKIMM
1475 = InteractPropScRsp  // obf: LBGHIJGFAFD
1478 = ReturnLastTownScRsp  // obf: MNEPAIGBPGM
1481 = EnterSectionCsReq  // obf: ICOPHOIEECL
1482 = SavePointsInfoNotify
1483 = ChangePropTimelineInfoCsReq  // obf: JJOIBGGCJBI
1484 = StartCocoonStageScRsp
1485 = SceneReviveAfterRebattleCsReq  // obf: IMPIBDBDHCA
1486 = GroupStateChangeScRsp  // obf: JOGKBLIDLOC
1487 = SceneEntityTeleportScRsp  // obf: DDNPAHEDFAE
1488 = UnlockTeleportNotify  // obf: HMBCOANODNA
1489 = SetTrainWorldIdCsReq  // obf: AEBLDMIMFIA
1490 = RefreshTriggerByClientScNotify  // obf: EOALLAPKMFA
1491 = SceneEntityTeleportCsReq  // obf: MKOADBDNMGE
1492 = UpdateGroupPropertyScRsp  // obf: ABPFEDEHLIA
1493 = OCHPFJEKNGM
1494 = CounterDownScRsp  // obf: KHFOFKGAEBL
1495 = GetSceneMapInfoCsReq  // obf: EJFJACCGDGA
1496 = DeactivateFarmElementCsReq  // obf: DGPHMHCOPPO
1498 = UpdateGroupPropertyCsReq  // obf: GPOBLGDJCKC
1499 = GetUnlockTeleportScRsp  // obf: FFKMNLDNIAA
1500 = ScenePlaneEventScNotify  // obf: BEFBCIOPNOA
1505 = BuyGoodsCsReq  // obf: GICAKCOPBBO
1516 = TakeCityShopRewardScRsp  // obf: EAPHLHEJGEI
1525 = GetShopListScRsp
1534 = GetShopListCsReq  // obf: KMHGIMGMOCJ
1558 = CityShopInfoScNotify
1560 = TakeCityShopRewardCsReq  // obf: OBOBABKFCHI
1575 = BuyGoodsScRsp
1605 = GetTutorialGuideCsReq  // obf: AKLIBAHPAKM
1615 = FinishTutorialScRsp
1616 = UnlockTutorialScRsp
1625 = GetTutorialScRsp
1634 = GetTutorialCsReq  // obf: FFBPKIGNIAO
1639 = FinishTutorialGuideScRsp
1642 = FinishTutorialGuideCsReq  // obf: AMHGACEKFBF
1656 = UnlockTutorialGuideScRsp
1658 = UnlockTutorialGuideCsReq  // obf: DJJKDINFDEH
1660 = UnlockTutorialCsReq  // obf: DOOOBFLCMKC
1675 = GetTutorialGuideScRsp
1683 = FinishTutorialCsReq  // obf: ILGJBBFKLDP
1704 = RestartChallengePhaseScRsp  // obf: IGOIIMJKPEH
1705 = StartChallengeCsReq  // obf: EOFJMGIPBLG
1707 = ChallengeBossPhaseSettleNotify  // obf: ANEIPABEMDH
1711 = StartPartialChallengeCsReq  // obf: OCOJEHPINMN
1712 = GetChallengeGroupStatisticsScRsp  // obf: MJLNHAKANHC
1715 = GetCurChallengeCsReq  // obf: NOHJGOCPPMF
1716 = LeaveChallengeScRsp  // obf: PGBKJLOFLLN
1717 = StartPartialChallengeScRsp  // obf: FHHDPFNMPMC
1719 = EnterChallengeNextPhaseCsReq  // obf: BNAKMGMBLCJ
1721 = GetChallengeGroupStatisticsCsReq  // obf: HKAMBNCEDDB
1725 = GetChallengeScRsp  // obf: KGPEJJNPLCG
1734 = GetChallengeCsReq  // obf: FICNDNLJEED
1739 = ChallengeLineupNotify  // obf: DBGHDPKNNKK
1742 = GetCurChallengeScRsp  // obf: JIOAKKLDCBB
1758 = ChallengeSettleNotify  // obf: DPNNFHCFCKL
1760 = LeaveChallengeCsReq  // obf: KGKLEEPMGEF
1764 = TakeChallengeRewardScRsp  // obf: CGOFJCCAPBC
1768 = TakeChallengeRewardCsReq  // obf: HHGBMDBOKHI
1775 = StartChallengeScRsp  // obf: IPALENCIHFB
1778 = RestartChallengePhaseCsReq  // obf: LMEBOJEOJPD
1785 = EnterChallengeNextPhaseScRsp  // obf: PBGKAOINCEP
1801 = SyncRogueVirtualItemInfoScNotify  // obf: JNDNJFPANEB
1802 = GetRogueTalentInfoCsReq  // obf: MKBJONMNLCH
1803 = SyncRogueReviveInfoScNotify  // obf: KHCBONJOLDP
1804 = GetRogueBuffEnhanceInfoCsReq  // obf: CGMBIHBHLFK
1805 = StartRogueCsReq  // obf: LJINAKCNBCB
1806 = GetRogueTalentInfoScRsp  // obf: JOCBDCIBNMG
1807 = EnhanceRogueBuffScRsp  // obf: NAHANHPHGGF
1811 = ReviveRogueAvatarCsReq  // obf: PDNOJMFCDDG
1816 = EnterRogueScRsp  // obf: KNBOCPOOAEM
1817 = ReviveRogueAvatarScRsp  // obf: AJAOJOEAGML
1819 = GetRogueBuffEnhanceInfoScRsp  // obf: AJNDMBCDEOL
1820 = FinishAeonDialogueGroupScRsp  // obf: FAOLLLOFMKB
1821 = PickRogueAvatarScRsp  // obf: BHLEHMNFHPJ
1822 = QuitRogueScRsp  // obf: PLIDMPJNFEA
1824 = GetRogueInitialScoreScRsp  // obf: CDOKCLHEDBO
1825 = GetRogueInfoScRsp  // obf: DDOOMBLAOHN
1827 = SyncRogueAeonScNotify  // obf: IEFFGOMNLNA
1828 = TakeRogueAeonLevelRewardScRsp  // obf: KFJFHKLJKAK
1829 = QuitRogueCsReq  // obf: MDFEOFGBJBI
1830 = KLFPHOOPELB
1832 = SyncRogueSeasonFinishScNotify  // obf: IMOIBEFBKCL
1834 = GetRogueInfoCsReq  // obf: GMFGIAEEAFC
1837 = TakeRogueAeonLevelRewardCsReq  // obf: HIGAMEJNCJJ
